0.00	0.00
0.12	0.00
0.36	0.01
0.60	0.02
0.76	0.02
1.03	0.03
1.27	0.04
1.51	0.06
1.75	0.07
1.93	0.08
2.13	0.10
2.31	0.12
2.83	0.17
3.11	0.20
3.53	0.25
3.64	0.26
3.87	0.29
4.12	0.32
4.37	0.35
4.64	0.39
5.50	0.49
5.83	0.53
6.19	0.56
6.79	0.62
7.25	0.66
7.77	0.69
8.34	0.73
8.99	0.77
9.72	0.80
10.56	0.83
11.51	0.87
12.63	0.90
13.92	0.93
15.44	0.96
17.19	0.99
18.17	1.00
19.22	1.01
21.56	1.04
24.23	1.06
25.71	1.07
28.97	1.09
32.71	1.11
37.00	1.13
41.93	1.15
47.59	1.17
50.72	1.17
57.64	1.19
61.45	1.20
69.82	1.21
79.26	1.22
89.85	1.24
101.65	1.25
114.69	1.26
128.96	1.27
144.48	1.28
170.05	1.29
218.81	1.32
251.70	1.33
312.17	1.35
351.25	1.35
405.56	1.37
475.24	1.38
571.76	1.39
624.16	1.39
684.68	1.40
756.27	1.40
817.88	1.40
898.42	1.40
988.82	1.40
