0.00	0.00
2.98	0.00
6.50	0.01
11.08	0.01
17.27	0.02
25.45	0.03
35.43	0.05
46.84	0.07
59.36	0.09
72.61	0.11
86.18	0.14
99.61	0.17
112.48	0.20
135.75	0.25
157.37	0.30
198.56	0.39
221.58	0.44
301.18	0.56
419.02	0.70
563.70	0.81
619.15	0.85
767.89	0.93
954.69	1.00
1038.65	1.03
1408.03	1.10
1784.49	1.15
1995.27	1.17
2625.76	1.22
3105.86	1.25
5440.01	1.33
6884.80	1.36
9127.65	1.40
10538.82	1.43
15323.18	1.49
21718.62	1.55
27451.58	1.59
34628.19	1.63
43625.56	1.66
58218.26	1.71
73137.16	1.74
95812.50	1.79
101556.57	1.80
109710.15	1.81
112872.19	1.82
116398.35	1.82
123026.04	1.83

